normalization,word_ngram,char_ngram,char_weight,location_boost,cold,warm,benchmark_mix_63_cold_37_warm,bootstrap_cold_mean,bootstrap_cold_std,bootstrap_cold_min,bootstrap_cold_max,bootstrap_warm_mean,bootstrap_warm_std,bootstrap_warm_min,bootstrap_warm_max,bootstrap_mix_mean,bootstrap_mix_std,bootstrap_mix_min,bootstrap_mix_max
plain,unigram,2_to_3,0.4,0.56,0.52576,0.5520215384615386,0.5354767692307693,0.5314546666666666,0.009202018458126647,0.5188266666666667,0.5478933333333332,0.549440358974359,0.008614133961761373,0.5358548717948717,0.565043076923077,0.5381093728205129,0.007886757759124742,0.5283023025641025,0.5517375384615384
plain,unigram,2_to_3,0.4,0.6,0.52576,0.5520215384615386,0.5354767692307693,0.5314546666666666,0.009202018458126647,0.5188266666666667,0.5478933333333332,0.549440358974359,0.008614133961761373,0.5358548717948717,0.565043076923077,0.5381093728205129,0.007886757759124742,0.5283023025641025,0.5517375384615384
plain,unigram,2_to_3,0.4,0.7,0.52576,0.5520215384615386,0.5354767692307693,0.5314546666666666,0.009202018458126647,0.5188266666666667,0.5478933333333332,0.549440358974359,0.008614133961761373,0.5358548717948717,0.565043076923077,0.5381093728205129,0.007886757759124742,0.5283023025641025,0.5517375384615384
plain,unigram,2_to_3,0.4,0.8,0.52576,0.5520215384615386,0.5354767692307693,0.5314546666666666,0.009202018458126647,0.5188266666666667,0.5478933333333332,0.549440358974359,0.008614133961761373,0.5358548717948717,0.565043076923077,0.5381093728205129,0.007886757759124742,0.5283023025641025,0.5517375384615384
plain,unigram,2_to_3,0.4,0.9,0.52576,0.5520215384615386,0.5354767692307693,0.5314546666666666,0.009202018458126647,0.5188266666666667,0.5478933333333332,0.549440358974359,0.008614133961761373,0.5358548717948717,0.565043076923077,0.5381093728205129,0.007886757759124742,0.5283023025641025,0.5517375384615384
plain,unigram,2_to_3,0.4,1.0,0.52576,0.5520215384615386,0.5354767692307693,0.5314546666666666,0.009202018458126647,0.5188266666666667,0.5478933333333332,0.549440358974359,0.008614133961761373,0.5358548717948717,0.565043076923077,0.5381093728205129,0.007886757759124742,0.5283023025641025,0.5517375384615384
plain,unigram,2_to_3,0.5,0.0,0.23701333333333327,0.25047743589743593,0.24199505128205126,0.235452,0.006187415982719264,0.22621333333333332,0.24613333333333332,0.24898984615384614,0.006713792288935523,0.23686410256410254,0.26173897435897436,0.24046100307692306,0.004773590959100996,0.23226159999999998,0.24846243589743588
plain,unigram,2_to_3,0.5,0.1,0.34012666666666663,0.3581741025641026,0.34680421794871796,0.340654,0.005857651701560132,0.32852666666666663,0.34626,0.35991251282051284,0.007989402840273734,0.3490641025641026,0.3773189743589744,0.34777964974358977,0.0032228043613579467,0.3424806666666667,0.3521904358974359
plain,unigram,2_to_3,0.5,0.2,0.41566000000000003,0.4388548717948717,0.42424210256410255,0.4170273333333333,0.0069227643447425805,0.40426000000000006,0.42926000000000003,0.43650969230769227,0.005020419052522058,0.43075333333333327,0.44574307692307685,0.42423580615384615,0.004294640435021191,0.4182773076923077,0.4307720666666667
plain,unigram,2_to_3,0.5,0.3,0.4713,0.5026948717948718,0.48291610256410256,0.4744833333333333,0.00709611700461667,0.4622,0.4839,0.5018076923076923,0.006044023484780534,0.49246153846153845,0.511723076923077,0.48459334615384614,0.005537434733814798,0.47712030769230773,0.4923976666666666
plain,unigram,2_to_3,0.5,0.4,0.50746,0.5341882051282052,0.517349435897436,0.5123113333333333,0.008744211517439881,0.49776000000000004,0.5261600000000001,0.5319836923076923,0.007424671765455385,0.5199548717948718,0.5439764102564103,0.5195901061538462,0.00755419742026594,0.5089463333333333,0.530694871794872
plain,unigram,2_to_3,0.5,0.5,0.5205933333333332,0.5477882051282053,0.5306554358974358,0.5266313333333332,0.008244973957239367,0.5130933333333333,0.5403600000000001,0.5465836923076923,0.0076562297110818415,0.5359548717948718,0.5599764102564103,0.5340137061538461,0.0072039017673231715,0.5240823333333333,0.5455608717948719
plain,unigram,2_to_3,0.5,0.56,0.5231933333333333,0.5498215384615385,0.5330457692307692,0.5294313333333334,0.008429579928903789,0.5166933333333333,0.54456,0.5484336923076923,0.007781991082153602,0.5366548717948717,0.5623097435897437,0.5364622061538462,0.007305839662918208,0.5271643333333333,0.5487988717948719
plain,unigram,2_to_3,0.5,0.6,0.5231933333333333,0.5498215384615385,0.5330457692307692,0.5294313333333334,0.008429579928903789,0.5166933333333333,0.54456,0.5484336923076923,0.007781991082153602,0.5366548717948717,0.5623097435897437,0.5364622061538462,0.007305839662918208,0.5271643333333333,0.5487988717948719
plain,unigram,2_to_3,0.5,0.7,0.5235933333333332,0.5498215384615385,0.5332977692307692,0.5297513333333332,0.008526054795177554,0.5166933333333333,0.54456,0.5484336923076923,0.007781991082153602,0.5366548717948717,0.5623097435897437,0.5366638061538461,0.007388549005934059,0.5271643333333333,0.5487988717948719
plain,unigram,2_to_3,0.5,0.8,0.5235933333333332,0.5498215384615385,0.5332977692307692,0.5297513333333332,0.008526054795177554,0.5166933333333333,0.54456,0.5484336923076923,0.007781991082153602,0.5366548717948717,0.5623097435897437,0.5366638061538461,0.007388549005934059,0.5271643333333333,0.5487988717948719
plain,unigram,2_to_3,0.5,0.9,0.5235933333333332,0.5498215384615385,0.5332977692307692,0.5297513333333332,0.008526054795177554,0.5166933333333333,0.54456,0.5484336923076923,0.007781991082153602,0.5366548717948717,0.5623097435897437,0.5366638061538461,0.007388549005934059,0.5271643333333333,0.5487988717948719
